id,sex,edad,origen,timerun,categoria,nacionalidad
1,Hombre,22,Sevilla,1988,2. Abierta,COL
2,Hombre,31,Sevilla,2041,2. Abierta,COL
3,Hombre,31,Yumbo,2083,2. Abierta,COL
4,Hombre,36,Cali,2112,2. Abierta,COL
5,Hombre,32,Cali,2213,2. Abierta,COL
6,Hombre,48,Palmira,2238,3. Veteranos A,COL
7,Hombre,31,Cali,2244,2. Abierta,COL
8,Hombre,19,Yumbo,2247,2. Abierta,COL
9,Hombre,51,Cali,2266,4. Veteranos B,COL
10,Hombre,24,Cali,2302,2. Abierta,COL
11,Hombre,23,Cali,2346,2. Abierta,COL
12,Mujer,25,Sevilla,2355,2. Abierta,COL
13,Hombre,46,Cali,2358,3. Veteranos A,COL
14,Hombre,25,Cali,2358,2. Abierta,COL
15,Hombre,46,Cali,2358,3. Veteranos A,COL
16,Hombre,42,Cali,2363,3. Veteranos A,COL
17,Mujer,23,Popayan,2374,2. Abierta,COL
18,Hombre,36,Cali,2379,2. Abierta,COL
19,Hombre,36,Cali,2386,2. Abierta,COL
20,Hombre,43,Cali,2402,3. Veteranos A,COL
21,Hombre,30,Cali,2406,2. Abierta,COL
22,Hombre,44,Cali,2424,3. Veteranos A,COL
23,Hombre,38,Cali,2460,2. Abierta,COL
24,Hombre,25,Cali,2469,2. Abierta,COL
25,Hombre,30,Cali,2473,2. Abierta,COL
26,Hombre,39,Cali,2484,2. Abierta,COL
27,Hombre,17,Cali,2500,1. Juvenil,COL
28,Hombre,44,Cali,2505,3. Veteranos A,COL
29,Hombre,19,Cali,2512,2. Abierta,COL
30,Mujer,19,Sevilla,2525,2. Abierta,COL
31,Hombre,52,Cali,2530,4. Veteranos B,COL
32,Hombre,41,Cali,2530,3. Veteranos A,COL
33,Hombre,16,Cali,2534,1. Juvenil,COL
34,Hombre,53,Cali,2537,4. Veteranos B,COL
35,Hombre,50,Cali,2539,4. Veteranos B,COL
36,Hombre,36,Cali,2540,2. Abierta,COL
37,Hombre,36,Cali,2552,2. Abierta,COL
38,Hombre,33,Cali,2566,2. Abierta,COL
39,Hombre,24,Pradera,2568,2. Abierta,COL
40,Mujer,33,Cali,2577,2. Abierta,COL
41,Hombre,50,Cali,2577,4. Veteranos B,COL
42,Hombre,39,Cali,2582,2. Abierta,COL
43,Hombre,23,Cali,2583,2. Abierta,COL
44,Hombre,22,Cali,2584,2. Abierta,COL
45,Hombre,33,Cali,2589,2. Abierta,COL
46,Hombre,37,Cali,2593,2. Abierta,COL
47,Hombre,40,Jamundí,2612,3. Veteranos A,COL
48,Hombre,38,Cali,2615,2. Abierta,COL
49,Hombre,27,Cali,2629,2. Abierta,COL
50,Hombre,22,Cali,2646,2. Abierta,COL
51,Hombre,21,Cali,2648,2. Abierta,COL
52,Hombre,40,Cali,2650,3. Veteranos A,COL
53,Hombre,36,Cali,2652,2. Abierta,COL
54,Hombre,19,Jamundi,2654,2. Abierta,COL
55,Hombre,50,Cali,2657,4. Veteranos B,COL
56,Hombre,46,Cali,2661,3. Veteranos A,COL
57,Hombre,53,Cali,2662,4. Veteranos B,COL
58,Hombre,40,Cali,2666,3. Veteranos A,COL
59,Hombre,41,Cali,2672,3. Veteranos A,COL
60,Hombre,48,Cali,2681,3. Veteranos A,COL
61,Hombre,24,Cali,2691,2. Abierta,COL
62,Hombre,34,Cali,2692,2. Abierta,COL
63,Hombre,31,Cali,2693,2. Abierta,COL
64,Hombre,32,Cali,2693,2. Abierta,COL
65,Hombre,62,Cali,2697,5. Veteranos C,COL
66,Hombre,56,Cali,2701,4. Veteranos B,COL
67,Hombre,30,Cali,2704,2. Abierta,COL
68,Hombre,26,Cali,2709,2. Abierta,COL
69,Hombre,46,Cali,2715,3. Veteranos A,COL
70,Hombre,30,Cali,2721,2. Abierta,COL
71,Hombre,49,Cali,2725,3. Veteranos A,COL
72,Hombre,48,Cali,2730,3. Veteranos A,COL
73,Hombre,16,Cali,2732,1. Juvenil,COL
74,Hombre,40,Cali,2734,3. Veteranos A,COL
75,Mujer,59,Cali,2748,4. Veteranos B,COL
76,Hombre,50,Popayan,2751,4. Veteranos B,COL
77,Hombre,33,Cali,2752,2. Abierta,COL
78,Hombre,27,Cali,2754,2. Abierta,COL
79,Hombre,34,Guacari,2755,2. Abierta,COL
80,Hombre,60,Cali,2757,5. Veteranos C,COL
81,Hombre,61,Palmira,2766,5. Veteranos C,COL
82,Hombre,37,Cali,2769,2. Abierta,COL
83,Hombre,23,Cali,2772,2. Abierta,COL
84,Hombre,53,Cali,2774,4. Veteranos B,COL
85,Hombre,23,Cali,2778,2. Abierta,COL
86,Hombre,41,Cali,2782,3. Veteranos A,COL
87,Hombre,37,Cali,2784,2. Abierta,COL
88,Hombre,25,Cali,2791,2. Abierta,COL
89,Hombre,38,Cali,2797,2. Abierta,COL
90,Hombre,39,Cali,2802,2. Abierta,COL
91,Hombre,43,Cali,2805,3. Veteranos A,COL
92,Hombre,22,Yumbo,2807,2. Abierta,COL
93,Hombre,26,Cali,2808,2. Abierta,COL
94,Mujer,35,Cali,2808,2. Abierta,COL
95,Hombre,46,Palmira,2811,3. Veteranos A,COL
96,Hombre,44,Cali,2816,3. Veteranos A,COL
97,Hombre,34,Cali,2817,2. Abierta,COL
98,Hombre,33,Cali,2817,2. Abierta,COL
99,Hombre,49,Cali,2818,3. Veteranos A,COL
100,Hombre,50,Cali,2819,4. Veteranos B,COL
101,Hombre,44,Cali,2820,3. Veteranos A,COL
102,Hombre,29,Cali,2826,2. Abierta,COL
103,Hombre,30,Cali,2828,2. Abierta,COL
104,Hombre,24,Cali,2836,2. Abierta,COL
105,Hombre,36,Candelaria,2842,2. Abierta,COL
106,Hombre,39,Cali,2842,2. Abierta,COL
107,Hombre,31,Palmira,2847,2. Abierta,COL
108,Hombre,41,Cali,2847,3. Veteranos A,COL
109,Hombre,47,Cali,2853,3. Veteranos A,COL
110,Hombre,36,Cali,2857,2. Abierta,COL
111,Mujer,30,Cali,2861,2. Abierta,COL
112,Mujer,50,Cali,2864,4. Veteranos B,COL
113,Hombre,28,Cali,2869,2. Abierta,COL
114,Hombre,39,Cali,2870,2. Abierta,COL
115,Hombre,25,Cali,2873,2. Abierta,COL
116,Hombre,47,Cali,2878,3. Veteranos A,COL
117,Hombre,32,Popayan,2878,2. Abierta,COL
118,Hombre,39,Cali,2879,2. Abierta,COL
119,Hombre,35,Cali,2880,2. Abierta,COL
120,Hombre,39,Cali,2884,2. Abierta,COL
121,Hombre,38,Cali,2886,2. Abierta,COL
122,Hombre,36,Cali,2889,2. Abierta,COL
123,Hombre,40,Cali,2890,3. Veteranos A,COL
124,Hombre,37,Palmira,2890,2. Abierta,COL
125,Hombre,33,Cali,2891,2. Abierta,COL
126,Hombre,35,Cali,2893,2. Abierta,COL
127,Hombre,43,Cali,2896,3. Veteranos A,COL
128,Hombre,47,Cali,2896,3. Veteranos A,COL
129,Hombre,24,Jamundi,2901,2. Abierta,COL
130,Mujer,41,Cali,2902,3. Veteranos A,COL
131,Hombre,33,Jamundi,2903,2. Abierta,COL
132,Mujer,34,Jamundí,2903,2. Abierta,COL
133,Hombre,63,Cali,2906,5. Veteranos C,COL
134,Mujer,28,Cali,2914,2. Abierta,COL
135,Hombre,48,Cali,2917,3. Veteranos A,COL
136,Hombre,35,Cali,2919,2. Abierta,COL
137,Hombre,51,Cali,2920,4. Veteranos B,COL
138,Mujer,34,Cali,2925,2. Abierta,COL
139,Hombre,24,Cali,2931,2. Abierta,COL
140,Hombre,33,Cali,2933,2. Abierta,COL
141,Hombre,30,Jamundi,2933,2. Abierta,COL
142,Hombre,64,Cali,2936,5. Veteranos C,COL
143,Hombre,38,Cali,2940,2. Abierta,COL
144,Hombre,43,Cali,2941,3. Veteranos A,COL
145,Hombre,25,Cali,2943,2. Abierta,COL
146,Hombre,31,Cali,2944,2. Abierta,COL
147,Hombre,19,Cali,2946,2. Abierta,COL
148,Hombre,27,Cali,2949,2. Abierta,COL
149,Hombre,45,Cali,2949,3. Veteranos A,COL
150,Hombre,40,Cali,2952,3. Veteranos A,COL
151,Hombre,40,Cali,2952,3. Veteranos A,COL
